Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Have we overstated the tropical biodiversity crisis?,"Laurance, William F.",,,,TRENDS IN ECOLOGY & EVOLUTION,FEB 2007,2007,22,2,,,,65,70,,10.1016/j.tree.2006.09.014,,,200,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,15,19,18,13,12,10,14,13,7,10,8,15,14,6
Effects of forest fragmentation on small mammals in an Atlantic Forest landscape,"Pardini, R",,,,BIODIVERSITY AND CONSERVATION,DEC 2004,2004,13,13,,,,2567,2586,,10.1023/B:BIOC.0000048452.18878.2d,,,184,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,13,13,9,11,11,12,9,8,10,14,9,11,10,16,14,6
EFFECTS OF HUNTING ON WESTERN AMAZONIAN PRIMATE COMMUNITIES,"PERES, CA",,,,BIOLOGICAL CONSERVATION,1990,1990,54,1,,,,47,59,,10.1016/0006-3207(90)90041-M,,,178,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,7,4,6,7,3,5,14,5,0,4,3,7,5,5,5,2,6,5,9,10,9,8,4,12,6,5,8,4,4
Ecological and evolutionary implications of plant tolerance to herbivory,"Fornoni, Juan",,,,FUNCTIONAL ECOLOGY,APR 2011,2011,25,2,,,,399,407,,10.1111/j.1365-2435.2010.01805.x,,,177,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,16,19,12,25,14,16,17,14,12,13
SPECIES-DIVERSITY OF DECAPOD CRUSTACEANS IN MARINE HABITATS,"ABELE, LG",,,,ECOLOGY,1974,1974,55,1,,,,156,161,,10.2307/1934629,,,171,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,5,5,7,5,6,7,3,5,3,4,1,8,2,0,1,2,1,1,2,1,3,5,3,1,2,3,4,0,3,2,5,3,0,2,3,4,6,4,4,8,7,7,6,2,3,4
Modelling the known and unknown plant biodiversity of the Amazon Basin,"Hopkins, Michael J. G.",,,,JOURNAL OF BIOGEOGRAPHY,AUG 2007,2007,34,8,,,,1400,1411,,10.1111/j.1365-2699.2007.01737.x,Annual Meeting of the Association-for-Tropical-Biology-and-Conservation,2005,163,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,9,5,6,13,6,17,20,14,13,5,16,17,13
FACTORS AFFECTING POST-DISPERSAL SEED SURVIVAL IN A TROPICAL FOREST,"SCHUPP, EW",,,,OECOLOGIA,1988,1988,76,4,,,,525,530,,10.1007/BF00397864,,,160,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,3,5,5,8,7,5,9,8,10,6,6,7,5,7,4,2,7,7,2,5,3,2,7,1,4,2,1,1,1,5,1
Effect of natural and anthropogenic landscape matrices on the abundance of subandean bird species,"Renjifo, LM",,,,ECOLOGICAL APPLICATIONS,FEB 2001,2001,11,1,,,,14,31,,10.1890/1051-0761(2001)011[0014:EONAAL]2.0.CO;2,,,159,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,8,8,8,12,8,9,13,4,8,10,9,4,5,6,6,12,6,6
Ecological effects of El Nino in terrestrial ecosystems of western South America,"Jaksic, FM",,,,ECOGRAPHY,JUN 2001,2001,24,3,,,,241,250,,10.1034/j.1600-0587.2001.240301.x,,,155,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,10,9,9,9,8,16,7,4,8,3,3,5,10,3,8,6,9,3
TROPHIC DIVERSITY MEASUREMENT IN SYMPATRIC PREDATORY SPECIES,"HURTUBIA, J",,,,ECOLOGY,1973,1973,54,4,,,,885,890,,10.2307/1935684,,,153,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,4,7,3,2,2,5,6,5,2,5,4,1,1,0,3,7,4,6,1,7,2,2,3,0,1,6,1,1,4,3,3,6,3,5,2,2,4,4,6,0,3,3,3,0
"PREDATION, PHYSICAL STRESS, AND THE ORGANIZATION OF A TROPICAL ROCKY INTER-TIDAL HERMIT CRAB COMMUNITY","BERTNESS, MD",,,,ECOLOGY,1981,1981,62,2,,,,411,425,,10.2307/1936715,,,145,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,6,4,9,3,3,4,3,0,5,3,4,1,1,2,4,2,2,9,6,3,3,2,6,2,0,6,5,2,3,5,1,7,5,1,1,7,3,4,2
A crisis in the making: responses of Amazonian forests to land use and climate change,"Laurance, WF",,,,TRENDS IN ECOLOGY & EVOLUTION,OCT 1998,1998,13,10,,,,411,415,,10.1016/S0169-5347(98)01433-5,,,143,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,12,10,5,11,4,11,6,6,9,6,4,8,4,5,5,5,2,5,2,4,2,1
Conserving the hottest of the hotspots Preface,"Laurance, William F.",,,,BIOLOGICAL CONSERVATION,JUN 2009,2009,142,6,,,,1137,1137,,10.1016/j.biocon.2008.10.011,,,142,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,11,14,12,12,5,11,10,18,16,8
Has water limited our imagination for aridland biogeochemistry?,"Austin, Amy T.",,,,TRENDS IN ECOLOGY & EVOLUTION,MAY 2011,2011,26,5,,,,229,235,,10.1016/j.tree.2011.02.003,,,139,11.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,11,18,19,11,13,11,12,11,16
Effect of forest fragmentation on dung beetle communities and functional consequences for plant regeneration,"Andresen, E",,,,ECOGRAPHY,FEB 2003,2003,26,1,,,,87,97,,10.1034/j.1600-0587.2003.03362.x,,,138,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,4,12,10,7,8,5,5,8,11,7,7,4,7,9,11,3,4
Light-dependent changes in biomass allocation and their importance for growth of rain forest tree species,"Poorter, L",,,,FUNCTIONAL ECOLOGY,FEB 2001,2001,15,1,,,,113,123,,,,,137,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,3,6,5,8,13,5,5,6,8,6,4,6,15,8,5,7,7,9,2
Effects of forest disturbance on the structure of ground-foraging ant communities in central Amazonia,"Vasconcelos, HL",,,,BIODIVERSITY AND CONSERVATION,MAR 1999,1999,8,3,,,,409,420,,,,,137,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,6,2,15,9,5,9,8,6,8,6,10,4,4,7,9,7,5,7,1
"Tree species richness complementarity, disturbance and fragmentation in a Mexican tropical montane cloud forest","Williams-Linera, G",,,,BIODIVERSITY AND CONSERVATION,2002,2002,11,10,,,,1825,1843,,10.1023/A:1020346519085,,,135,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,5,7,10,5,5,6,8,3,8,4,11,10,6,9,10,6,7
Composition changes in a subandean avifauna after long-term forest fragmentation,"Renjifo, LM",,,,CONSERVATION BIOLOGY,OCT 1999,1999,13,5,,,,1124,1139,,10.1046/j.1523-1739.1999.98311.x,,,134,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,3,10,4,11,13,5,9,10,6,3,3,9,2,5,10,4,4,4,3
Leaf area accumulation helps juvenile evergreen trees tolerate shade in a temperate rainforest,"Lusk, CH",,,,OECOLOGIA,JUL 2002,2002,132,2,,,,188,196,,10.1007/s00442-002-0974-9,,,128,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,4,11,8,11,7,9,4,7,4,7,5,3,5,7,5,10,4
The Chilean coastal range: a vanishing center of biodiversity and endemism in South American temperate rainforests,"Smith-Ramirez, C",,,,BIODIVERSITY AND CONSERVATION,FEB 2004,2004,13,2,,,,373,393,,10.1023/B:BIOC.0000006505.67560.9f,Dana Conference on conservation and Mobile Peoples,2002,125,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,5,10,5,10,6,5,5,6,9,10,8,5,13,11,6
Biogeographical regions under track and cladistic scrutiny,"Morrone, JJ",,,,JOURNAL OF BIOGEOGRAPHY,FEB 2002,2002,29,2,,,,149,152,,10.1046/j.1365-2699.2002.00662.x,,,125,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,6,5,6,13,11,4,13,10,11,4,8,6,4,2,10,3
Fundamental biogeographic patterns across the Mexican Transition Zone: an evolutionary approach,"Morrone, Juan J.",,,,ECOGRAPHY,APR 2010,2010,33,2,,,,355,361,,10.1111/j.1600-0587.2010.06266.x,,,124,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,9,13,9,8,8,14,14,14,17,7